id,section,category,type,brand,product_series,product_name,hex_color,price,etc
1,lip,Lipstick,solid,Mac,M·A·CXIMAL SLEEK SATIN LIPSTICK,게싱 게임,#3D0C18,39000,
2,lip,Lipstick,solid,Mac,M·A·CXIMAL SLEEK SATIN LIPSTICK,스윗 하트,#9B3536,39000,
3,lip,Lipstick,solid,Mac,M·A·CXIMAL SLEEK SATIN LIPSTICK,모란지,#E9513E,39000,
4,lip,Lipstick,solid,Mac,M·A·CXIMAL SLEEK SATIN LIPSTICK,에스프레소 유어셀프,#682C1B,39000,
5,lip,Lipstick,solid,Mac,M·A·CXIMAL SLEEK SATIN LIPSTICK,핑크 페퍼민트,#B47685,39000,
6,lip,Lipstick,solid,Mac,M·A·CXIMAL SLEEK SATIN LIPSTICK,바이올렛 페이퍼,#871975,39000,
7,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,허니러브,#BF7D6E,39000,
8,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,야쉬,#A5705C,39000,
9,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,카인다 섹시,#AB675A,39000,
10,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,소어,#7D4D4D,39000,
11,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,액팅 내츄럴,#CFA282,39000,
12,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,아이코닉 포토,#82462C,39000,
13,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,베어 맥시멀,#412B26,39000,
14,lip,Lipstick,solid,Mac,M·A·CXIMAL SILKY MATTE LIPSTICK,믹스드 미디어,#56272C,39000,
15,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,에스칸달로,#EE3E4B,"49,000",
16,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,엘레강스 이즈 런드,#C4304F,"49,000",
17,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,임펄시브,#A84D3A,"49,000",
18,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,핫팬츠,#9E1B24,"49,000",
19,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,페로쉬,#84404D,"49,000",
20,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,데이트 메이커,#C26963,"49,000",
21,lip,Lipstick,liquid,Mac,Powder Kiss Liquid Lipcolour,체스트넛,#442C22,"49,000",
22,lip,Tint,liquid,Romand,쥬시 래스팅 틴트 뉴베어,27. Pink popsicle,#E60F74,"13,000",
23,lip,Tint,liquid,Romand,쥬시 래스팅 틴트 뉴베어,26. Very berry pink,#FF4497,"13,000",
24,lip,Tint,liquid,Romand,쥬시 래스팅 틴트 뉴베어,32. Bare berry smoothie,#FFA1D1,"13,000",
25,lip,Tint,liquid,Romand,쥬시 래스팅 틴트 뉴베어,13. Eat dotori,#8A2B19,"13,000",
26,lip,Tint,liquid,Romand,쥬시 래스팅 틴트 뉴베어,7. Jujube,#A73336,"13,000",
27,lip,Tint,liquid,Romand,쥬시 래스팅 틴트 뉴베어,22. Pemelo skin,#B96051,"13,000",
28,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,92. 가넷 피즈,#C45261,"51,000",
29,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,94. 아쿠아팝,#7FE0DB,"51,000",
30,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,90. 스파클리 시에나,#D87A73,"51,000",
31,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,212. 튀튀,#E3999E,"51,000",
32,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,30. 쉬어로즈,#E86271,"51,000",
33,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,3. 홀로그래픽 라벤더,#EB83AA,"51,000",
34,lip,Tint,liquid,Dior,어딕트 립 맥시마이저,5. 쉬머 스트로베리,#FA5B81,"51,000",
35,lip,Lipstick,solid,Yves Saint Laurent ,루쥬 쀠르 꾸뛰르,N15. 누드 셀프,#AB5755,"62,000",
36,lip,Lipstick,solid,Yves Saint Laurent ,루쥬 쀠르 꾸뛰르,N44. 누드 라발리에,#D4777F,"62,000",
37,lip,Lipstick,solid,Yves Saint Laurent ,루쥬 쀠르 꾸뛰르,R1 르 루쥬,#B41625,"62,000",
